C:\NewDataCar\IMG\center_2021_08_13_14_58_17_942.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_17_942.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_17_942.jpg, 0, 0, 0, 7.84828E-05
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_046.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_046.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_046.jpg, 0, 0, 0, 7.876009E-05
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_151.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_151.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_151.jpg, 0, 0, 0, 7.81054E-05
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_253.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_253.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_253.jpg, 0, 0, 0, 7.793809E-05
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_355.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_355.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_355.jpg, 0, 0, 0, 7.806514E-05
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_459.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_459.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_459.jpg, 0, 0, 0, 7.958854E-05
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_562.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_562.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_562.jpg, 0, 0, 0, 8.153893E-05
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_664.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_664.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_664.jpg, 0, 0, 0, 7.786423E-05
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_768.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_768.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_768.jpg, 0, 0, 0, 7.891711E-05
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_872.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_872.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_872.jpg, 0, 0.0406356, 0, 0.01940789
C:\NewDataCar\IMG\center_2021_08_13_14_58_18_973.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_18_973.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_18_973.jpg, 0, 0.3450042, 0, 0.2928267
C:\NewDataCar\IMG\center_2021_08_13_14_58_19_074.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_19_074.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_19_074.jpg, 0, 0.659589, 0, 0.8797883
C:\NewDataCar\IMG\center_2021_08_13_14_58_19_179.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_19_179.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_19_179.jpg, 0, 0.9985858, 0, 2.109561
C:\NewDataCar\IMG\center_2021_08_13_14_58_19_281.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_19_281.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_19_281.jpg, -0.3082707, 1, 0, 3.261324
C:\NewDataCar\IMG\center_2021_08_13_14_58_19_386.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_19_386.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_19_386.jpg, -0.6047184, 1, 0, 4.399157
C:\NewDataCar\IMG\center_2021_08_13_14_58_19_488.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_19_488.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_19_488.jpg, -0.7122907, 0.9609412, 0, 5.498703
C:\NewDataCar\IMG\center_2021_08_13_14_58_19_591.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_19_591.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_19_591.jpg, -0.4231514, 0.6718018, 0, 6.414034
C:\NewDataCar\IMG\center_2021_08_13_14_58_19_696.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_19_696.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_19_696.jpg, -0.1081018, 0.3567523, 0, 6.947976
C:\NewDataCar\IMG\center_2021_08_13_14_58_19_803.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_19_803.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_19_803.jpg, 0, 0, 0, 7.086651
C:\NewDataCar\IMG\center_2021_08_13_14_58_19_903.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_19_903.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_19_903.jpg, 0, 0.3009213, 0, 7.216225
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_008.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_008.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_008.jpg, 0, 0.6006555, 0, 7.705406
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_111.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_111.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_111.jpg, 0, 0.8916556, 0, 8.554465
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_214.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_214.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_214.jpg, 0, 1, 0, 9.665991
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_318.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_318.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_318.jpg, 0, 1, 0, 10.77664
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_417.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_417.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_417.jpg, -0.1726569, 0.7560124, 0, 11.55476
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_524.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_524.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_524.jpg, -0.4542738, 0.3794486, 0, 12.30213
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_625.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_625.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_625.jpg, -0.1532232, 0.07839795, 0, 12.42715
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_733.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_733.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_733.jpg, 0, 0, 0, 12.29095
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_837.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_837.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_837.jpg, -0.0488493, 0, 0, 12.10191
C:\NewDataCar\IMG\center_2021_08_13_14_58_20_943.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_20_943.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_20_943.jpg, -0.4118898, 0, 0, 11.94265
C:\NewDataCar\IMG\center_2021_08_13_14_58_21_045.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_21_045.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_21_045.jpg, -0.5055807, 0, 0, 11.64595
C:\NewDataCar\IMG\center_2021_08_13_14_58_21_150.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_21_150.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_21_150.jpg, -0.2110482, 0, 0, 11.61188
C:\NewDataCar\IMG\center_2021_08_13_14_58_21_256.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_21_256.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_21_256.jpg, 0, 0, 0, 11.51084
C:\NewDataCar\IMG\center_2021_08_13_14_58_21_358.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_21_358.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_21_358.jpg, 0, 0.3052233, 0, 11.46711
C:\NewDataCar\IMG\center_2021_08_13_14_58_21_460.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_21_460.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_21_460.jpg, 0, 0.6084207, 0, 12.09803
C:\NewDataCar\IMG\center_2021_08_13_14_58_21_564.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_21_564.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_21_564.jpg, 0, 0.9216662, 0, 12.88164
C:\NewDataCar\IMG\center_2021_08_13_14_58_21_664.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_21_664.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_21_664.jpg, -0.2828337, 0.900286, 0, 13.86643
C:\NewDataCar\IMG\center_2021_08_13_14_58_21_767.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_21_767.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_21_767.jpg, -0.5885946, 0.5945251, 0, 14.47078
C:\NewDataCar\IMG\center_2021_08_13_14_58_21_871.jpg, C:\NewDataCar\IMG\left_2021_08_13_14_58_21_871.jpg, C:\NewDataCar\IMG\right_2021_08_13_14_58_21_871.jpg, -0.6085476, 0.2806981, 0, 14.74556
